"","year","commonName","sys_loc_code","facility","facility_code","perc_detected","LATITUDE","LONGITUDE"
"234",2006,"PFBA","615494","East Metro PFAS","SR0001491",1,44.975417,-92.929701
"235",2006,"PFBA","615495","East Metro PFAS","SR0001491",1,44.980886,-92.93752
"236",2006,"PFBA","616663","East Metro PFAS","SR0001491",1,44.979189,-92.937118
"237",2006,"PFBA","616699","East Metro PFAS","SR0001491",1,44.973717,-92.930971
"238",2006,"PFBA","617670","East Metro PFAS","SR0001491",1,44.974608,-92.930121
"239",2006,"PFBA","617679","East Metro PFAS","SR0001491",1,44.973501,-92.931568
"240",2006,"PFBA","622302","East Metro PFAS","SR0001491",1,44.973491,-92.928993
"241",2006,"PFBA","625136","East Metro PFAS","SR0001491",1,44.974697,-92.929715
"242",2006,"PFBA","626607","East Metro PFAS","SR0001491",1,44.972204,-92.930441
"243",2006,"PFBA","628276","East Metro PFAS","SR0001491",1,44.977164,-92.930079
"244",2006,"PFBA","628279","East Metro PFAS","SR0001491",1,44.975805,-92.930284
"245",2006,"PFBA","628292","East Metro PFAS","SR0001491",1,44.974995,-92.930171
"246",2006,"PFBA","633265","East Metro PFAS","SR0001491",0.333333333333333,44.973419,-92.929856
"247",2006,"PFBA","633266","East Metro PFAS","SR0001491",1,44.977138,-92.930878
"248",2006,"PFBA","633269","East Metro PFAS","SR0001491",1,44.977246,-92.931322
"249",2006,"PFBA","633271","East Metro PFAS","SR0001491",1,44.96165,-92.911244
"250",2006,"PFBA","633276","East Metro PFAS","SR0001491",1,44.975714,-92.929637
"251",2006,"PFBA","637422","East Metro PFAS","SR0001491",1,44.979307,-92.938278
"252",2006,"PFBA","637432","East Metro PFAS","SR0001491",1,44.973285,-92.930629
"253",2006,"PFBA","641027","East Metro PFAS","SR0001491",1,44.971682,-92.930581
"254",2006,"PFBA","641705","East Metro PFAS","SR0001491",1,44.980165,-92.935022
"255",2006,"PFBA","645610","East Metro PFAS","SR0001491",1,44.976201,-92.929751
"256",2006,"PFBA","645644","East Metro PFAS","SR0001491",1,44.97287,-92.929489
"257",2006,"PFBA","658960","East Metro PFAS","SR0001491",1,44.974534,-92.92813
"258",2006,"PFBA","658987","East Metro PFAS","SR0001491",0,44.973949,-92.927978
"259",2006,"PFBA","665349","East Metro PFAS","SR0001491",1,44.96302,-92.913981
"260",2006,"PFBA","672545","East Metro PFAS","SR0001491",1,44.973175,-92.928004
"261",2006,"PFBA","672580","East Metro PFAS","SR0001491",1,44.974606,-92.927609
"262",2006,"PFBA","672582","East Metro PFAS","SR0001491",0,44.973562,-92.928017
"263",2006,"PFBA","699707","Pigs Eye Landfill","SR0000117",1,44.927128,-93.034808
"264",2006,"PFBA","699709","Pigs Eye Landfill","SR0000117",1,44.928147,-93.030831
"265",2006,"PFBA","699710","Pigs Eye Landfill","SR0000117",0,44.928136,-93.030831
"266",2006,"PFBA","699711","Pigs Eye Landfill","SR0000117",1,44.928183,-93.030831
"267",2006,"PFBA","699712","Pigs Eye Landfill","SR0000117",1,44.928643,-93.030071
"268",2006,"PFBA","707094","East Metro PFAS","SR0001491",1,44.96687,-92.909904
"269",2006,"PFBA","707095","East Metro PFAS","SR0001491",1,44.96669,-92.909993
"270",2006,"PFBA","723603","East Metro PFAS","SR0001491",1,44.967663,-92.91093
"271",2006,"PFBA","725146","East Metro PFAS","SR0001491",1,44.971559,-92.921273
"272",2006,"PFBA","730403","East Metro PFAS","SR0001491",1,44.968725,-92.911512
"273",2006,"PFBA","730404","East Metro PFAS","SR0001491",1,44.965439,-92.910312
"274",2006,"PFBA","730663","East Metro PFAS","SR0001491",1,44.968568,-92.905958
"275",2006,"PFBA","730664","East Metro PFAS","SR0001491",1,44.966087,-92.910451
"276",2006,"PFBA","733003","East Metro PFAS","SR0001491",1,44.968137,-92.907392
"277",2006,"PFBA","736069","East Metro PFAS","SR0001491",0.666666666666667,44.971947,-92.92221
"278",2006,"PFBA","736070","East Metro PFAS","SR0001491",0,44.971189,-92.920398
"279",2006,"PFBA","737657","East Metro PFAS","SR0001491",0,44.992916,-92.965874
"280",2006,"PFBA","82W01000","East Metro PFAS","SR0001491",1,45.006205,-92.918078
"281",2006,"PFBA","MNPCAP17840","3M Chemolite / Cottage Grove","SR0000033",1,44.784936,-92.898761
